moes:1999 MoesDolbowBelytschko1999
moin MoinMahesh1998
MoreiraAlmA¡siEtAl2005 MoreiraAlmA¡siArcherEtAl2005
folder MortensenMardal2010
murray MurrayLopez1997
NarayananGarikipatiEtAl2008 NarayananGarikipatiLogg2008
NayrolesTouzotEtAl1992 NayrolesTouzotVillon1992
necas Nevcas1965
Simula.SC.105 NielsenMardal
nikbakht:2009 NikbakhtWells2009
NilsenCaiEtAl2008 NilsenCaiHoylandEtAl2008
Nord'enLofEtAl2007 NordenLofRantakokkoEtAl2007
Nedelec:1986:NFM Nedelec1986a
Nedelec:1980:MFE Nedelec1980a
OelgaardLoggEtAl2008a OelgaardLoggWells2008
OelgaardLoggEtAl2008 OelgaardLoggWells2008a
OelgaardWellsEtAl2008 OelgaardWellsLogg2008
Oldfield1994 OldfieldMuraszkoShawkerEtAl1994
NumPy Oliphantothers2009
Oliphant2006 Oliphantothers2006
Oliphant2006a Oliphantothers2006a
www:scipy OliphantPetersonJones
oseen1 Olshanskii1999
O-P-R-06 OlshanskiiPetersReusken2006
StokesInterface3 OlshanskiiPetersReusken2006a
olshanskii00convergence OlshanskiiReusken2000
SPrecond OlshanskiiVassilevski2007
MetteSOlufsen01011999 Olufsen1999
orzag71 Orzag1971
BENHAM96 PaigeSaunders1975
transient_dc PanditKalitaDalal2007
Pasciak-W-m PasciakWang2006
PelCoc1998 PelosiCoccioliSelleri1998
Pennacchio PennacchioSimoncini2002
p-s PerugiaSimoncini2000
PeskoffPostEtAl1992 PeskoffPostLanger1992
P-R-R-05 PetersReicheltReusken2005
F2PY Peterson2009
Pinna2000 PinnaAlessandriniAlfieriEtAl2000
Poz2005 Pozar2005
Prud'homme2006 Prudhomme2006
Prud'homme2006a Prudhomme2006a
PrudhommeNobileEtAl2004 PrudhommeNobileChamoinEtAl2004
PrudhommeOdenEtAl2001 PrudhommeOdenRomkesEtAl2001
PuschelMouraEtAl2005 PuschelMouraJohnsonEtAl2005
RudigerShuaiEtAl2007 RudigerShuaiHuisingaEtAl2007
Rannacher1992 RannacherTurek1992
kofman Ransau2002
RingLangtangenEtAl RingLangtangenBredesenEtAl
www:ascot Rognes2009
RognesKirbyEtAl2008 RognesKirbyLogg2009
Roldan2008 RoldanHaughtonWiebenEtAl2008
RoosStynesEtAl2008 RoosStynesTobiska2008
www:python Rossum
Rossum Rossumothers
Python Rossumothers2009
R-V-W-96 RustenVassilevskiWinther1996
R-W-93 RustenWinther1993
R-W-92 RustenWinther1992
pytrilinos SalaSpotzHeroux2008
SavcencoHundsdorferEtAl2005 SavcencoHundsdorferVerwer2005
Joachim Schoberl
schoberl2 Schoberl1999
netgen SchoberlGerstmayrGaisbauer
schievink Schievink1997
SchloegelKarypisEtAl1997 SchloegelKarypisKumar1997
SchloegelKarypisEtAl1998 SchloegelKarypisKumarEtAl1998
S-Z-07 SchoberlZulehner2007
SelimNarayananEtAl2010 SelimNarayananAEtAl2010
SiklosiJensenEtAl2008a SiklosiJensenTewEtAl2008
SiklosiJensenEtAl2008 SiklosiJensenTewEtAl2008a
S-W-94 SilvesterWathen1994
S-W-93 SilvesterWathen1993
simo94 SimoArmero1994
Swiginac SkavhaugCertik2009
S-B-G SmithGropp1996
SmithBjorstadEtAl1996 SmithBjorstadGropp1996
Smith2006 SmithChase2ShawEtAl2006
Smi1997 Smith1997
Staff.2006.1 StaffMardalNilssen2006
Stehbens Stehbens1975
stenberg:1984 Stenberg1984
SternSongEtAl1999 SternSongChengEtAl1999
Stoer Stoer1983
SC.4.Sundnes.2002 SundnesLinesMardalEtAl2002
Sundnes.2006.2 SundnesLinesCaiEtAl2006
SundnesLinesEtAl2006 SundnesLinesCaiEtAl2006a
Tai2006 TaiWinther2006
TanskanenGreensteinEtAl2007 TanskanenGreensteinChenEtAl2007
temam Temam1969
Tennekes1972 TennekesLumley1972
tref06 Trefethen2006
TrefethenBau TrefethenBau1997
TOS2001 TrottenbergOosterleeSchuller2001
turek Turek1996
bench Valen-SendstadLoggMardalEtAl2010
nsbench Valen-SendstadLoggMardalEtAl2009
VarDem2002 VardapetyanDemkowicz2002
V-W95 VassilevskiWang1995
V-W92 VassilevskiWang1992
versteeg2007icf VersteegMalalasekera2007
VignonClementel Vignon-ClementelFigueroaJansenEtAl2006
WalterKochEtAl2006 WalterKochothers2006
WangWuEtAl2008 WangWuChengEtAl2008
Wang-2006 Wang2005
WeiKirbyEtAl1999 WeiKirbySinha1999
weir Weir2002
wells:2001 WellsSluys2001
WeltyWicksEtAl2001 WeltyWicksWilson2001
Instant WestlieMardalAlnaes2009
WhaleyPetitetEtAl2001 WhaleyPetitetDongarra2001
white White1999
viscous White1991
wilcox WilbersLangtangenOdegaard2009
W-80 Winther1980
Xuaux Xu1996
YamamotoMeneghiniEtAl2004 YamamotoMeneghiniSaltaraEtAl2004
YoganathanChandranEtAl2005 YoganathanChandranSotiropoulos2005
ZeeBrummelenEtAl ZeeBrummelenBorst
ZeeBrummelenEtAl2008 ZeeBrummelenBorst2008
ZeeBrummelenEtAl2008 ZeeBrummelenBorst2006
ZhaoTengEtAl2004 ZhaoTengCheng2004
ZienkiewiczTaylorEtAl2005firstpublishedin1967 ZienkiewiczTaylorZhu2005firstpublishedin1967
AlgaardWellsEtAl2008 AlgaardWellsLogg2008
